-2 -2 9.26942e-157 0
-2 -1.98431 5.83584e-156 0
-2 -1.96863 3.63886e-155 0
-2 -1.95294 2.24719e-154 0
-2 -1.93725 1.37443e-153 0
-2 -1.92157 8.32565e-153 0
-2 -1.90588 4.99487e-152 0
-2 -1.8902 2.96785e-151 0
-2 -1.87451 1.7465e-150 0
-2 -1.85882 1.01791e-149 0
-2 -1.84314 5.87569e-149 0
-2 -1.82745 3.35908e-148 0
-2 -1.81176 1.90192e-147 0
-2 -1.79608 1.06653e-146 0
-2 -1.78039 5.92337e-146 0
-2 -1.76471 3.25817e-145 0
-2 -1.74902 1.77497e-144 0
-2 -1.73333 9.57674e-144 0
-2 -1.71765 5.11747e-143 0
-2 -1.70196 2.70835e-142 0
-2 -1.68627 1.4196e-141 0
-2 -1.67059 7.36947e-141 0
-2 -1.6549 3.78895e-140 0
-2 -1.63922 1.92935e-139 0
-2 -1.62353 9.73006e-139 0
-2 -1.60784 4.85994e-138 0
-2 -1.59216 2.40412e-137 0
-2 -1.57647 1.17786e-136 0
-2 -1.56078 5.71534e-136 0
-2 -1.5451 2.74664e-135 0
-2 -1.52941 1.30729e-134 0
-2 -1.51373 6.16244e-134 0
-2 -1.49804 2.87703e-133 0
-2 -1.48235 1.3303e-132 0
-2 -1.46667 6.09204e-132 0
-2 -1.45098 2.76304e-131 0
-2 -1.43529 1.24115e-130 0
-2 -1.41961 5.52168e-130 0
-2 -1.40392 2.43293e-129 0
-2 -1.38824 1.06169e-128 0
-2 -1.37255 4.58859e-128 0
-2 -1.35686 1.96413e-127 0
-2 -1.34118 8.32669e-127 0
-2 -1.32549 3.49611e-126 0
-2 -1.3098 1.45382e-125 0
-2 -1.29412 5.98749e-125 0
-2 -1.27843 2.44226e-124 0
-2 -1.26275 9.86617e-124 0
-2 -1.24706 3.94745e-123 0
-2 -1.23137 1.56421e-122 0
-2 -1.21569 6.13884e-122 0
-2 -1.2 2.38609e-121 0
-2 -1.18431 9.18544e-121 0
-2 -1.16863 3.50206e-120 0
-2 -1.15294 1.32238e-119 0
-2 -1.13725 4.94541e-119 0
-2 -1.12157 1.83172e-118 0
-2 -1.10588 6.71933e-118 0
-2 -1.0902 2.44121e-117 0
-2 -1.07451 8.78403e-117 0
-2 -1.05882 3.13036e-116 0
-2 -1.04314 1.10485e-115 0
-2 -1.02745 3.86214e-115 0
-2 -1.01176 1.33709e-114 0
-2 -0.996078 4.58464e-114 0
-2 -0.980392 1.5569e-113 0
-2 -0.964706 5.23633e-113 0
-2 -0.94902 1.74423e-112 0
-2 -0.933333 5.7543e-112 0
-2 -0.917647 1.88015e-111 0
-2 -0.901961 6.08418e-111 0
-2 -0.886275 1.94995e-110 0
-2 -0.870588 6.1895e-110 0
-2 -0.854902 1.9458e-109 0
-2 -0.839216 6.05834e-109 0
-2 -0.823529 1.86818e-108 0
-2 -0.807843 5.70552e-108 0
-2 -0.792157 1.72577e-107 0
-2 -0.776471 5.16988e-107 0
-2 -0.760784 1.53388e-106 0
-2 -0.745098 4.50724e-106 0
-2 -0.729412 1.31172e-105 0
-2 -0.713725 3.78081e-105 0
-2 -0.698039 1.07929e-104 0
-2 -0.682353 3.05142e-104 0
-2 -0.666667 8.54432e-104 0
-2 -0.65098 2.36954e-103 0
-2 -0.635294 6.5082e-103 0
-2 -0.619608 1.77039e-102 0
-2 -0.603922 4.76968e-102 0
-2 -0.588235 1.27268e-101 0
-2 -0.572549 3.36326e-101 0
-2 -0.556863 8.80264e-101 0
-2 -0.541176 2.28179e-100 0
-2 -0.52549 5.85802e-100 0
